Total runtime of Kruskal's Algorithm: 40.0 ms.
Edge from 7 to 461 has weight 1
Edge from 40 to 705 has weight 1
Edge from 62 to 526 has weight 1
Edge from 63 to 618 has weight 1
Edge from 120 to 172 has weight 1
Edge from 242 to 99 has weight 1
Edge from 505 to 985 has weight 1
Edge from 244 to 99 has weight 1
Edge from 514 to 486 has weight 1
Edge from 515 to 901 has weight 1
Edge from 121 to 937 has weight 1
Edge from 533 to 622 has weight 1
Edge from 265 to 686 has weight 1
Edge from 547 to 938 has weight 1
Edge from 553 to 141 has weight 1
Edge from 556 to 81 has weight 1
Edge from 557 to 886 has weight 1
Edge from 561 to 936 has weight 1
Edge from 70 to 52 has weight 1
Edge from 283 to 951 has weight 1
Edge from 571 to 319 has weight 1
Edge from 571 to 313 has weight 1
Edge from 284 to 58 has weight 1
Edge from 288 to 58 has weight 1
Edge from 288 to 756 has weight 1
Edge from 306 to 236 has weight 1
Edge from 153 to 337 has weight 1
Edge from 310 to 630 has weight 1
Edge from 312 to 313 has weight 1
Edge from 630 to 215 has weight 1
Edge from 633 to 856 has weight 1
Edge from 652 to 985 has weight 1
Edge from 655 to 177 has weight 1
Edge from 320 to 764 has weight 1
Edge from 165 to 773 has weight 1
Edge from 325 to 711 has weight 1
Edge from 671 to 441 has weight 1
Edge from 684 to 881 has weight 1
Edge from 693 to 86 has weight 1
Edge from 700 to 230 has weight 1
Edge from 702 to 218 has weight 1
Edge from 706 to 377 has weight 1
Edge from 168 to 821 has weight 1
Edge from 711 to 202 has weight 1
Edge from 366 to 97 has weight 1
Edge from 369 to 776 has weight 1
Edge from 97 to 474 has weight 1
Edge from 382 to 995 has weight 1
Edge from 785 to 847 has weight 1
Edge from 800 to 457 has weight 1
Edge from 406 to 996 has weight 1
Edge from 806 to 890 has weight 1
Edge from 827 to 216 has weight 1
Edge from 834 to 423 has weight 1
Edge from 854 to 984 has weight 1
Edge from 877 to 58 has weight 1
Edge from 465 to 956 has weight 1
Edge from 59 to 237 has weight 1
Edge from 503 to 329 has weight 2
Edge from 513 to 58 has weight 2
Edge from 238 to 59 has weight 2
Edge from 250 to 998 has weight 2
Edge from 251 to 500 has weight 2
Edge from 528 to 711 has weight 2
Edge from 539 to 90 has weight 2
Edge from 260 to 348 has weight 2
Edge from 266 to 36 has weight 2
Edge from 562 to 85 has weight 2
Edge from 282 to 914 has weight 2
Edge from 575 to 329 has weight 2
Edge from 587 to 803 has weight 2
Edge from 281 to 156 has weight 2
Edge from 39 to 739 has weight 2
Edge from 293 to 996 has weight 2
Edge from 605 to 431 has weight 2
Edge from 608 to 767 has weight 2
Edge from 140 to 458 has weight 2
Edge from 617 to 176 has weight 2
Edge from 623 to 102 has weight 2
Edge from 144 to 440 has weight 2
Edge from 634 to 689 has weight 2
Edge from 635 to 173 has weight 2
Edge from 317 to 953 has weight 2
Edge from 319 to 739 has weight 2
Edge from 319 to 957 has weight 2
Edge from 161 to 953 has weight 2
Edge from 686 to 384 has weight 2
Edge from 330 to 426 has weight 2
Edge from 332 to 56 has weight 2
Edge from 157 to 481 has weight 2
Edge from 338 to 820 has weight 2
Edge from 710 to 233 has weight 2
Edge from 343 to 76 has weight 2
Edge from 707 to 17 has weight 2
Edge from 354 to 759 has weight 2
Edge from 739 to 913 has weight 2
Edge from 182 to 998 has weight 2
Edge from 84 to 428 has weight 2
Edge from 184 to 191 has weight 2
Edge from 186 to 430 has weight 2
Edge from 30 to 208 has weight 2
Edge from 189 to 790 has weight 2
Edge from 798 to 884 has weight 2
Edge from 798 to 973 has weight 2
Edge from 798 to 886 has weight 2
Edge from 803 to 464 has weight 2
Edge from 812 to 410 has weight 2
Edge from 814 to 843 has weight 2
Edge from 838 to 926 has weight 2
Edge from 0 to 213 has weight 2
Edge from 863 to 918 has weight 2
Edge from 885 to 910 has weight 2
Edge from 104 to 478 has weight 2
Edge from 924 to 971 has weight 2
Edge from 925 to 475 has weight 2
